Scheme Name,Alpha,Beta
Scheme_01,0.08978320478787093,1.2085200207099553
Scheme_02,0.0718331116859679,0.9277188667092173
Scheme_03,-0.018131852377349447,1.2122790363473626
Scheme_04,-0.04658346121304707,1.056578598502484
Scheme_05,0.02510780712741022,0.8514254203153746
Scheme_06,-0.0817144301340852,1.0398668170896674
Scheme_07,-0.07739344070020807,1.3817596143994437
Scheme_08,0.011904017907050089,0.9370392102184586
Scheme_09,0.10234996118274421,1.1157705193523852
Scheme_10,0.060249345384635965,1.2341300112646736
Scheme_11,-0.031539570629863435,1.0065420567925585
Scheme_12,-0.09530150296769893,1.071562576651216
Scheme_13,0.11491106752061636,0.8473659726227465
Scheme_14,-0.025933183333243005,0.9954076539348277
Scheme_15,0.18349691056725875,0.7814413941800049
Scheme_16,0.03760559968324004,1.1451782406067292
Scheme_17,0.05709850340825196,0.8175322110097254
Scheme_18,0.018075121649669096,1.4368628568514399
Scheme_19,0.07365467941121573,1.361890219224941
Scheme_20,0.1455045828163929,1.3092121156134984
Scheme_21,0.08951079764308974,0.893355787797914
Scheme_22,0.02376161615245526,1.3230292277063151
Scheme_23,0.05348411376860299,1.0709231363158216
Scheme_24,-0.004767212793884028,1.3909124643991577
Scheme_25,-0.01505670729578868,1.1293663203816129
Scheme_26,0.1066313557660587,0.8652867880762907
Scheme_27,-0.20481287585895766,1.1778153986782671
Scheme_28,0.05968600154945956,1.131311318796244
Scheme_29,-0.03068602395169508,0.9981379037101293
Scheme_30,-0.07971256660483395,1.0823868165164547
Scheme_31,0.11143887196157652,1.037282456688232
Scheme_32,0.09141870606322869,0.7971308175122181
Scheme_33,0.004997296000637434,1.256326184020246
Scheme_34,-0.004617470210838203,0.7873125001830307
Scheme_35,-0.17430421168845636,1.4086417366619002
Scheme_36,0.03845293283680789,1.1192698444787432
Scheme_37,0.1444092527544586,1.1557778804319954
Scheme_38,0.1300228597632506,1.3041671972315705
Scheme_39,-0.07966345761877056,1.362327195032944
Scheme_40,-0.0062354505273492615,1.2833790086977623
