Scheme Name,3Yr_CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Scorecard_Score
Scheme_15,0.2867553397632705,1.0948515353696566,1.9399712225549857,-0.11328024421812166,93.25
Scheme_20,0.28504602643301835,0.877374963386,1.5797817454803504,-0.21241687949157007,92.875
Scheme_13,0.2052149345097145,0.7220348798378636,1.2909321259712458,-0.1380537721470506,86.875
Scheme_37,0.2729026003794124,0.8721703382851433,1.4942742459216372,-0.13521625890128386,84.0
Scheme_26,0.19557505832560174,0.6943803781245226,1.203281535169156,-0.17688437996128747,83.125
Scheme_38,0.2616588328314122,0.8014337429537609,1.451632156256642,-0.18637881521701893,82.125
Scheme_01,0.20691136581984626,0.638426886263695,1.0711307956857425,-0.23270793053332683,82.0
Scheme_32,0.1690565799331707,0.591338277552254,1.0382424264845043,-0.18685340193678257,78.25
Scheme_31,0.22023262075465566,0.7236605099909251,1.2617719319066842,-0.2549871290330128,78.125
Scheme_09,0.20389544107094504,0.6710912050282917,1.1840842329972525,-0.17109889230578612,74.25
Scheme_19,0.1956188351935204,0.5746901067987676,0.9979108387163477,-0.28849520525592265,72.375
Scheme_21,0.17519238876751086,0.5908182409731646,1.0198057102091311,-0.2402463756175235,72.125
Scheme_02,0.16279821872270683,0.5125724292493872,0.88443778044488,-0.17457882482580422,64.75
Scheme_10,0.17676715048401714,0.5145483179739113,0.8852774039110745,-0.23028918773415596,59.375
Scheme_28,0.1598696293202826,0.48612349504518637,0.8374836315546476,-0.22169158586853432,58.75
Scheme_17,0.13038960301200153,0.4036380323432886,0.6754779397128909,-0.1482279794315201,57.375
Scheme_18,0.14110663430645065,0.3668401397078205,0.6284006166944529,-0.2180620414900556,56.875
Scheme_22,0.13383024589084003,0.368230251866327,0.6289296753355671,-0.29463598419889514,52.125
Scheme_23,0.154421321584572,0.4506373409772358,0.7745739052212419,-0.2792896352933153,51.5
Scheme_36,0.1367658529791127,0.38770515510759423,0.6757729523090674,-0.24526844995659713,49.37499999999999
Scheme_16,0.13385055026407722,0.38583579477409424,0.6610135505028965,-0.22835467623277594,48.0
Scheme_40,0.0968567870219681,0.23107800231514772,0.39005771494595665,-0.22086846371448365,45.25
Scheme_33,0.10526073742584408,0.27308479629909627,0.4716111680438603,-0.33112375888988943,45.125
Scheme_05,0.10114745796390268,0.2418267821418083,0.4277979947226593,-0.20358152400318197,43.5
Scheme_08,0.09639134199803867,0.200248281114685,0.3359131090141214,-0.2651526139138486,43.125
Scheme_24,0.10188101475197353,0.2661640076817753,0.44999063185515153,-0.26791071294724955,41.375
Scheme_34,0.05431306059805485,0.04595597750801329,0.07826542589365013,-0.22874674210160917,37.375
Scheme_29,0.05095091241529737,0.015263047380236832,0.02653247970681613,-0.2571812429988819,36.0
Scheme_25,0.07480797017175522,0.14488701802665524,0.2550944506079967,-0.2608845176755322,35.375
Scheme_14,0.05592713542376471,0.03771898951147497,0.06323212901212576,-0.2075451999826451,34.875
Scheme_11,0.0515513845634461,0.014734132242727441,0.025342977783996055,-0.24803537502248552,33.0
Scheme_06,0.001543427052557611,-0.2110779974208871,-0.3587663114130404,-0.20803914274665403,29.375
Scheme_03,0.0791269778654069,0.15961517227034094,0.2817959892600383,-0.35092711056460735,27.375
Scheme_04,0.03837393935876077,-0.03426336235900452,-0.05642867395470015,-0.2483465694387904,25.375
Scheme_07,0.02329587599696703,-0.022856175043239387,-0.038307677797991525,-0.33969503498506404,23.625
Scheme_39,0.02435136774199509,-0.040168549008937474,-0.06489956569179257,-0.3250457382824813,22.375
Scheme_30,0.002933996674482575,-0.18200226741197473,-0.3150428714098658,-0.26450403850771875,16.75
Scheme_35,-0.06883380311036125,-0.39485762533225566,-0.664824482863155,-0.44352975395175587,16.375
Scheme_12,-0.015587886594380818,-0.26195599376219203,-0.423350103816562,-0.39411032402606827,11.375
Scheme_27,-0.1143405414289349,-0.6843364483368475,-1.1225504231183072,-0.37592365332681044,4.875
